id,audit_trail,cap_group,cap_info,cap_order,description,entity_type,is_active,is_api,is_console,is_immutable,name,extra_info,created_at,created_by,modified_at,modified_by,deleted_at,deleted_by
127,"{""checked"": false}",User Management,User Management Checker deactivate operation,,User Management Checker Deactivate,"{MI,KRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,usm_c_deactivate,,,,,,,
128,"{""checked"": false}",User Management,User management add group role map operations,,Group Role Map Add,"{MI,KRA,OKRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,group_role_map_add,,,,,,,
129,"{""checked"": false}",User Management,User management edit group role map operations,,Group Role Map Edit,"{MI,KRA,OKRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,group_role_map_edit,,,,,,,
130,"{""checked"": false}",User Management,User management delete group role map operations,,Group Role Map Delete,"{MI,KRA,OKRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,group_role_map_delete,,,,,,,
131,"{""checked"": false}",User Management,User management add role operations,,Role add,"{MI,KRA,OKRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,role_add,,,,,,,
132,"{""checked"": false}",User Management,User management edit role operations,,Role edit,"{MI,KRA,OKRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,role_edit,,,,,,,
133,"{""checked"": false}",User Management,User management delete role operations,,Role delete,"{MI,KRA,OKRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,role_delete,,,,,,,
134,"{""checked"": false}",User Management,User Management Checker raised query operation,,User Management checker Raise Query,"{MI,KRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,usm_c_raiseQuery,,,,,,,
135,"{""checked"": false}",Dashboard,Dashboard capabilities,,Dashboard,{*},TRUE,FALSE,FALSE,TRUE,dashboard,,,,,,,
136,"{""checked"": false}",Download,Download Maker Bulk list handles download maker bulk list operations,,Download maker Bulk List,"{MI,KRA,OKRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,down_m_bulk_list,,,,,,,
137,"{""checked"": false}",Download,Download Checker Bulk list handles download checker bulk list operations,,Download checker Bulk List,"{MI,KRA,OKRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,down_c_bulk_list,,,,,,,
138,"{""checked"": false}",Registration,Registration Maker Bulk list handles registration maker bulk list operations,,Registration maker Bulk List,"{MI,KRA,OKRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,reg_m_bulk_list,,,,,,,
139,"{""checked"": false}",Registration,Registration Checker Bulk list handles registration checker bulk list operations,,Registration checker Bulk List,"{MI,KRA,OKRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,reg_c_bulk_list,,,,,,,
140,"{""checked"": false}",Modification,Modification Maker Bulk list handles modification maker bulk list operations,,Modification maker Bulk List,"{MI,KRA,OKRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,mod_m_bulk_list,,,,,,,
141,"{""checked"": false}",Modification,Modification Checker Bulk list handles modification checker bulk list operations,,Modification checker Bulk List,"{MI,KRA,OKRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,mod_c_bulk_list,,,,,,,
