id,pincode,city_id,state_id,country_id,v1_code,is_active,is_deleted,created_by,created_at,modified_by,modified_at,deleted_by,deleted_at,extra_info
271,125048,220,12,85,271,true,false,,,,,,,
272,125049,274,12,85,272,true,false,,,,,,,
273,125050,220,12,85,273,true,false,,,,,,,
274,125051,220,12,85,274,true,false,,,,,,,
275,125052,220,12,85,275,true,false,,,,,,,
276,125053,220,12,85,276,true,false,,,,,,,
277,125054,635,12,85,277,true,false,,,,,,,
278,125055,635,12,85,278,true,false,,,,,,,
279,125056,635,12,85,279,true,false,,,,,,,
280,125058,635,12,85,280,true,false,,,,,,,
281,125060,635,12,85,281,true,false,,,,,,,
282,125075,635,12,85,282,true,false,,,,,,,
283,125076,635,12,85,283,true,false,,,,,,,
284,125077,635,12,85,284,true,false,,,,,,,
285,125078,635,12,85,285,true,false,,,,,,,
286,125087,274,12,85,286,true,false,,,,,,,
287,125101,635,12,85,287,true,false,,,,,,,
288,125102,635,12,85,288,true,false,,,,,,,
289,125103,635,12,85,289,true,false,,,,,,,
290,125104,635,12,85,290,true,false,,,,,,,
291,125106,220,12,85,291,true,false,,,,,,,
292,125110,635,12,85,292,true,false,,,,,,,
293,125111,220,12,85,293,true,false,,,,,,,
294,125112,274,12,85,294,true,false,,,,,,,
295,125113,220,12,85,295,true,false,,,,,,,
296,125120,220,12,85,296,true,false,,,,,,,
297,125121,274,12,85,297,true,false,,,,,,,
298,125122,274,12,85,298,true,false,,,,,,,
299,125133,220,12,85,299,true,false,,,,,,,
300,125201,635,12,85,300,true,false,,,,,,,
301,126003,414,31,85,301,true,false,,,,,,,
302,126010,414,31,85,302,true,false,,,,,,,
303,126101,313,12,85,303,true,false,,,,,,,
304,126102,313,12,85,304,true,false,,,,,,,
305,126110,313,12,85,305,true,false,,,,,,,
306,126111,313,12,85,306,true,false,,,,,,,
307,126112,313,12,85,307,true,false,,,,,,,
308,126113,313,12,85,308,true,false,,,,,,,
309,126114,313,12,85,309,true,false,,,,,,,
310,126115,313,12,85,310,true,false,,,,,,,
311,126116,313,12,85,311,true,false,,,,,,,
312,126125,313,12,85,312,true,false,,,,,,,
313,126152,313,12,85,313,true,false,,,,,,,
314,127002,257,12,85,314,true,false,,,,,,,
315,127011,97,12,85,315,true,false,,,,,,,
316,127020,97,12,85,316,true,false,,,,,,,
317,127021,97,12,85,317,true,false,,,,,,,
318,127022,97,12,85,318,true,false,,,,,,,
319,127025,97,12,85,319,true,false,,,,,,,
320,127026,97,12,85,320,true,false,,,,,,,
321,127027,97,12,85,321,true,false,,,,,,,
322,127028,97,12,85,322,true,false,,,,,,,
323,127029,97,12,85,323,true,false,,,,,,,
324,127030,97,12,85,324,true,false,,,,,,,
325,127031,97,12,85,325,true,false,,,,,,,
326,127032,97,12,85,326,true,false,,,,,,,
327,127035,97,12,85,327,true,false,,,,,,,
328,127040,97,12,85,328,true,false,,,,,,,
329,127041,97,12,85,329,true,false,,,,,,,
330,127042,97,12,85,330,true,false,,,,,,,
331,127043,97,12,85,331,true,false,,,,,,,
332,127045,97,12,85,332,true,false,,,,,,,
333,127046,97,12,85,333,true,false,,,,,,,
334,127110,97,12,85,334,true,false,,,,,,,
335,127111,97,12,85,335,true,false,,,,,,,
336,127114,97,12,85,336,true,false,,,,,,,
337,127201,97,12,85,337,true,false,,,,,,,
338,127305,97,12,85,338,true,false,,,,,,,
339,127306,97,12,85,339,true,false,,,,,,,
340,127307,97,12,85,340,true,false,,,,,,,
341,127308,97,12,85,341,true,false,,,,,,,
342,127309,97,12,85,342,true,false,,,,,,,
343,127310,97,12,85,343,true,false,,,,,,,
344,127311,97,12,85,344,true,false,,,,,,,
345,127312,97,12,85,345,true,false,,,,,,,
346,127802,97,12,85,346,true,false,,,,,,,
347,129001,554,31,85,347,true,false,,,,,,,
348,130107,516,12,85,348,true,false,,,,,,,
349,131001,645,12,85,349,true,false,,,,,,,
350,131002,645,12,85,350,true,false,,,,,,,
351,131021,645,12,85,351,true,false,,,,,,,
352,131022,645,12,85,352,true,false,,,,,,,
353,131023,645,12,85,353,true,false,,,,,,,
354,131024,645,12,85,354,true,false,,,,,,,
355,131027,645,12,85,355,true,false,,,,,,,
356,131028,645,12,85,356,true,false,,,,,,,
357,131029,645,12,85,357,true,false,,,,,,,
358,131030,645,12,85,358,true,false,,,,,,,
359,131039,645,12,85,359,true,false,,,,,,,
360,131040,645,12,85,360,true,false,,,,,,,
361,131101,645,12,85,361,true,false,,,,,,,
362,131102,645,12,85,362,true,false,,,,,,,
363,131103,645,12,85,363,true,false,,,,,,,
364,131301,645,12,85,364,true,false,,,,,,,
365,131302,645,12,85,365,true,false,,,,,,,
366,131303,645,12,85,366,true,false,,,,,,,
367,131304,645,12,85,367,true,false,,,,,,,
368,131305,645,12,85,368,true,false,,,,,,,
369,131306,645,12,85,369,true,false,,,,,,,
370,131310,645,12,85,370,true,false,,,,,,,
371,131402,645,12,85,371,true,false,,,,,,,
372,131403,645,12,85,372,true,false,,,,,,,
373,131407,645,12,85,373,true,false,,,,,,,
374,131408,645,12,85,374,true,false,,,,,,,
375,131409,645,12,85,375,true,false,,,,,,,
376,132001,348,12,85,376,true,false,,,,,,,
377,132002,348,12,85,377,true,false,,,,,,,
378,132022,348,12,85,378,true,false,,,,,,,
379,132023,348,12,85,379,true,false,,,,,,,
380,132024,348,12,85,380,true,false,,,,,,,
381,132034,322,12,85,381,true,false,,,,,,,
382,132036,348,12,85,382,true,false,,,,,,,
383,132037,348,12,85,383,true,false,,,,,,,
384,132039,348,12,85,384,true,false,,,,,,,
385,132040,348,12,85,385,true,false,,,,,,,
386,132041,348,12,85,386,true,false,,,,,,,
387,132046,348,12,85,387,true,false,,,,,,,
388,132054,348,12,85,388,true,false,,,,,,,
389,132100,516,12,85,389,true,false,,,,,,,
390,132101,516,12,85,390,true,false,,,,,,,
391,132102,516,12,85,391,true,false,,,,,,,
392,132103,516,12,85,392,true,false,,,,,,,
393,132104,516,12,85,393,true,false,,,,,,,
394,132105,516,12,85,394,true,false,,,,,,,
395,132106,516,12,85,395,true,false,,,,,,,
396,132107,516,12,85,396,true,false,,,,,,,
397,132108,516,12,85,397,true,false,,,,,,,
398,132113,516,12,85,398,true,false,,,,,,,
399,132114,348,12,85,399,true,false,,,,,,,
400,132115,516,12,85,400,true,false,,,,,,,
401,132116,348,12,85,401,true,false,,,,,,,
402,132117,348,12,85,402,true,false,,,,,,,
403,132118,397,12,85,403,true,false,,,,,,,
404,132119,397,12,85,404,true,false,,,,,,,
405,132122,516,12,85,405,true,false,,,,,,,
406,132140,516,12,85,406,true,false,,,,,,,
407,132145,516,12,85,407,true,false,,,,,,,
408,132156,397,12,85,408,true,false,,,,,,,
409,132157,348,12,85,409,true,false,,,,,,,
410,133001,18,12,85,410,true,false,,,,,,,
411,133002,18,12,85,411,true,false,,,,,,,
412,133003,18,12,85,412,true,false,,,,,,,
413,133004,18,12,85,413,true,false,,,,,,,
414,133005,18,12,85,414,true,false,,,,,,,
415,133006,18,12,85,415,true,false,,,,,,,
416,133008,18,12,85,416,true,false,,,,,,,
417,133010,18,12,85,417,true,false,,,,,,,
418,133021,18,12,85,418,true,false,,,,,,,
419,133101,18,12,85,419,true,false,,,,,,,
420,133102,18,12,85,420,true,false,,,,,,,
421,133103,746,12,85,421,true,false,,,,,,,
422,133104,18,12,85,422,true,false,,,,,,,
423,133105,18,12,85,423,true,false,,,,,,,
424,133201,18,12,85,424,true,false,,,,,,,
425,133202,18,12,85,425,true,false,,,,,,,
426,133203,18,12,85,426,true,false,,,,,,,
427,133204,746,12,85,427,true,false,,,,,,,
428,133205,18,12,85,428,true,false,,,,,,,
429,133206,746,12,85,429,true,false,,,,,,,
430,133207,18,12,85,430,true,false,,,,,,,
431,133301,515,12,85,431,true,false,,,,,,,
432,133302,515,12,85,432,true,false,,,,,,,
433,134001,348,12,85,433,true,false,,,,,,,
434,134002,18,12,85,434,true,false,,,,,,,
435,134003,18,12,85,435,true,false,,,,,,,
436,134004,18,12,85,436,true,false,,,,,,,
437,134005,18,12,85,437,true,false,,,,,,,
438,134007,18,12,85,438,true,false,,,,,,,
439,134008,18,12,85,439,true,false,,,,,,,
440,134009,515,12,85,440,true,false,,,,,,,
441,134011,18,12,85,441,true,false,,,,,,,
442,134012,18,12,85,442,true,false,,,,,,,
443,134101,515,12,85,443,true,false,,,,,,,
444,134102,515,12,85,444,true,false,,,,,,,
445,134103,515,12,85,445,true,false,,,,,,,
446,134104,515,12,85,446,true,false,,,,,,,
447,134105,515,12,85,447,true,false,,,,,,,
448,134107,515,12,85,448,true,false,,,,,,,
449,134108,515,12,85,449,true,false,,,,,,,
450,134109,515,12,85,450,true,false,,,,,,,
451,134110,515,12,85,451,true,false,,,,,,,
452,134112,515,12,85,452,true,false,,,,,,,
453,134113,515,12,85,453,true,false,,,,,,,
454,134114,515,12,85,454,true,false,,,,,,,
455,134115,515,12,85,455,true,false,,,,,,,
456,134116,515,12,85,456,true,false,,,,,,,
457,134117,515,12,85,457,true,false,,,,,,,
458,134118,515,12,85,458,true,false,,,,,,,
459,134119,515,12,85,459,true,false,,,,,,,
460,134136,18,12,85,460,true,false,,,,,,,
461,134151,515,12,85,461,true,false,,,,,,,
462,134201,18,12,85,462,true,false,,,,,,,
463,134202,18,12,85,463,true,false,,,,,,,
464,134203,18,12,85,464,true,false,,,,,,,
465,134204,515,12,85,465,true,false,,,,,,,
466,134205,515,12,85,466,true,false,,,,,,,
467,135001,746,12,85,467,true,false,,,,,,,
468,135002,746,12,85,468,true,false,,,,,,,
469,135003,746,12,85,469,true,false,,,,,,,
470,135004,746,12,85,470,true,false,,,,,,,
471,135021,746,12,85,471,true,false,,,,,,,
472,135101,746,12,85,472,true,false,,,,,,,
473,135102,746,12,85,473,true,false,,,,,,,
474,135103,746,12,85,474,true,false,,,,,,,
475,135105,747,12,85,475,true,false,,,,,,,
476,135106,746,12,85,476,true,false,,,,,,,
477,135133,746,12,85,477,true,false,,,,,,,
478,135201,746,12,85,478,true,false,,,,,,,
479,135203,18,12,85,479,true,false,,,,,,,
480,136020,322,12,85,480,true,false,,,,,,,
481,136021,322,12,85,481,true,false,,,,,,,
482,136026,322,12,85,482,true,false,,,,,,,
483,136027,322,12,85,483,true,false,,,,,,,
484,136030,397,12,85,484,true,false,,,,,,,
485,136033,322,12,85,485,true,false,,,,,,,
486,136034,322,12,85,486,true,false,,,,,,,
487,136035,322,12,85,487,true,false,,,,,,,
488,136038,397,12,85,488,true,false,,,,,,,
489,136042,322,12,85,489,true,false,,,,,,,
490,136043,322,12,85,490,true,false,,,,,,,
491,136044,322,12,85,491,true,false,,,,,,,
492,136116,322,12,85,492,true,false,,,,,,,
493,136117,322,12,85,493,true,false,,,,,,,
494,136118,397,12,85,494,true,false,,,,,,,
495,136119,397,12,85,495,true,false,,,,,,,
496,136128,397,12,85,496,true,false,,,,,,,
497,136129,397,12,85,497,true,false,,,,,,,
498,136130,397,12,85,498,true,false,,,,,,,
499,136131,397,12,85,499,true,false,,,,,,,
500,136132,397,12,85,500,true,false,,,,,,,
501,136135,397,12,85,501,true,false,,,,,,,
502,136136,397,12,85,502,true,false,,,,,,,
503,136156,397,12,85,503,true,false,,,,,,,
504,140001,585,26,85,504,true,false,,,,,,,
505,140003,585,26,85,505,true,false,,,,,,,
506,140007,592,6,85,506,true,false,,,,,,,
507,140010,22,26,85,507,true,false,,,,,,,
508,140025,585,26,85,508,true,false,,,,,,,
509,140036,256,26,85,509,true,false,,,,,,,
510,140041,585,26,85,510,true,false,,,,,,,
511,140048,450,26,85,511,true,false,,,,,,,
512,140054,585,26,85,512,true,false,,,,,,,
513,140063,585,26,85,513,true,false,,,,,,,
514,140084,585,26,85,514,true,false,,,,,,,
515,140085,585,26,85,515,true,false,,,,,,,
516,140087,585,26,85,516,true,false,,,,,,,
517,140094,585,26,85,517,true,false,,,,,,,
518,140095,585,26,85,518,true,false,,,,,,,
519,140096,585,26,85,519,true,false,,,,,,,
520,140098,585,26,85,520,true,false,,,,,,,
521,140101,585,26,85,521,true,false,,,,,,,
522,140102,583,26,85,522,true,false,,,,,,,
523,140103,451,26,85,523,true,false,,,,,,,
524,140104,592,6,85,524,true,false,,,,,,,
525,140105,585,26,85,525,true,false,,,,,,,
526,140106,221,26,85,526,true,false,,,,,,,
527,140108,585,26,85,527,true,false,,,,,,,
528,140109,451,26,85,528,true,false,,,,,,,
529,140110,451,26,85,529,true,false,,,,,,,
530,140111,585,26,85,530,true,false,,,,,,,
531,140112,451,26,85,531,true,false,,,,,,,
532,140113,585,26,85,532,true,false,,,,,,,
533,140114,585,26,85,533,true,false,,,,,,,
534,140115,583,26,85,534,true,false,,,,,,,
535,140116,585,26,85,535,true,false,,,,,,,
536,140117,585,26,85,536,true,false,,,,,,,
537,140118,583,26,85,537,true,false,,,,,,,
538,140119,133,6,85,538,true,false,,,,,,,
539,140123,585,26,85,539,true,false,,,,,,,
540,140124,585,26,85,540,true,false,,,,,,,
541,140125,133,6,85,541,true,false,,,,,,,
542,140126,583,26,85,542,true,false,,,,,,,
543,140128,585,26,85,543,true,false,,,,,,,
544,140129,585,26,85,544,true,false,,,,,,,
545,140133,583,26,85,545,true,false,,,,,,,
546,140136,277,26,85,546,true,false,,,,,,,
547,140201,527,26,85,547,true,false,,,,,,,
548,140202,527,26,85,548,true,false,,,,,,,
549,140203,221,26,85,549,true,false,,,,,,,
550,140205,277,26,85,550,true,false,,,,,,,
551,140301,585,26,85,551,true,false,,,,,,,
552,140306,585,26,85,552,true,false,,,,,,,
553,140307,585,26,85,553,true,false,,,,,,,
554,140308,585,26,85,554,true,false,,,,,,,
555,140309,22,26,85,555,true,false,,,,,,,
556,140329,277,26,85,556,true,false,,,,,,,
557,140401,527,26,85,557,true,false,,,,,,,
558,140402,527,26,85,558,true,false,,,,,,,
559,140405,221,26,85,559,true,false,,,,,,,
560,140406,221,26,85,560,true,false,,,,,,,
561,140407,221,26,85,561,true,false,,,,,,,
562,140408,221,26,85,562,true,false,,,,,,,
563,140412,221,26,85,563,true,false,,,,,,,
564,140413,451,26,85,564,true,false,,,,,,,
565,140417,527,26,85,565,true,false,,,,,,,
566,140500,592,6,85,566,true,false,,,,,,,
567,140501,451,26,85,567,true,false,,,,,,,
568,140506,451,26,85,568,true,false,,,,,,,
569,140507,451,26,85,569,true,false,,,,,,,
570,140601,527,26,85,570,true,false,,,,,,,
571,140602,527,26,85,571,true,false,,,,,,,
